Rank,Team,GP,TOI,GF,GA,GF60,GA60,GF%,SF,SA,Sh%,Sv%,PDO,CF,CA,CF60,CA60,CF%,CPDO,OZFO%,DZFO%,NZFO%,Cup,Year
1,Nashville,82,3933.016667,165,125,2.5172,1.9069,56.8966,2042,1812,8.0803,93.1015,101.182,3830,3435,58.4284,52.4025,52.7185,100.669,33.6226,32.482,33.8954,0,201415
2,Tampa Bay,82,3833.6,176,134,2.7546,2.0972,56.7742,1949,1670,9.0303,91.9761,101.006,3574,3166,55.937,49.5513,53.0267,100.692,33.4092,27.7746,38.8162,-1,201415
3,NY Rangers,82,4009.65,179,137,2.6785,2.0501,56.6456,2025,1979,8.8395,93.0773,101.917,3638,3713,54.4387,55.561,49.4899,101.231,31.6423,31.9299,36.4278,0,201415
4,Los Angeles,82,3960.866667,153,126,2.3177,1.9087,54.8387,2030,1697,7.5369,92.5751,100.112,3905,3149,59.1537,47.7017,55.3587,99.9168,34.8433,29.0756,36.0811,0,201415
5,St. Louis,82,3938.2,161,133,2.4529,2.0263,54.7619,1967,1741,8.1851,92.3607,100.546,3603,3359,54.8931,51.1757,51.7524,100.509,32.431,32.8693,34.6997,0,201415
6,Montreal,82,3932.866667,145,121,2.2121,1.846,54.5113,1828,1915,7.9322,93.6815,101.614,3544,3762,54.0674,57.3932,48.5081,100.875,30.0976,34.0255,35.8769,0,201415
7,Chicago,82,3980.1,150,127,2.2612,1.9145,54.1516,2182,1980,6.8744,93.5859,100.46,4001,3459,60.3151,52.1444,53.6327,100.077,35.9175,29.6789,34.4035,1,201415
8,Winnipeg,82,3773.6,143,123,2.2737,1.9557,53.7594,1817,1692,7.8701,92.7305,100.601,3501,3166,55.6657,50.3392,52.5124,100.2,33.1599,30.8598,35.9803,0,201415
9,Minnesota,82,3911.916667,165,144,2.5307,2.2086,53.3981,1939,1766,8.5095,91.846,100.355,3578,3433,54.8785,52.6545,51.0341,100.417,32.7925,31.2745,35.933,0,201415
10,Pittsburgh,82,3861.283333,145,130,2.2531,2.0201,52.7273,1953,1757,7.4245,92.601,100.025,3595,3213,55.8623,49.9264,52.8055,99.9873,33.6288,28.3379,38.0332,0,201415
11,Washington,82,3893.4,146,133,2.25,2.0496,52.3298,1814,1760,8.0485,92.4432,100.492,3612,3419,55.6634,52.6892,51.3725,100.152,33.3785,29.7722,36.8492,0,201415
12,NY Islanders,82,3962.6,167,156,2.5286,2.3621,51.7028,2144,1828,7.7892,91.4661,99.2553,4050,3629,61.3234,54.9488,52.7412,99.8248,33.3958,30.2089,36.3953,0,201415
13,Anaheim,82,3902.033333,157,147,2.4141,2.2604,51.6447,1861,1820,8.4363,91.9231,100.359,3608,3472,55.4788,53.3876,50.9605,100.118,31.6909,31.9761,36.333,0,201415
14,Ottawa,82,3866.15,151,143,2.3434,2.2193,51.3605,1884,2035,8.0149,92.973,100.988,3583,3549,55.6057,55.078,50.2384,100.185,31.9321,31.986,36.0819,0,201415
