Rank,Team,GP,TOI,GF,GA,GF60,GA60,GF%,SF,SA,Sh%,Sv%,PDO,CF,CA,CF60,CA60,CF%,CPDO,OZFO%,DZFO%,NZFO%,Cup,Year
15,Detroit,82,3826.266667,132,126,2.0699,1.9758,51.1628,1801,1704,7.3293,92.6056,99.9349,3361,2924,52.7041,45.8515,53.4765,99.6182,35.1234,28.6683,36.2083,0,201415
16,Boston,82,4014.316667,140,136,2.0925,2.0327,50.7246,1966,1939,7.1211,92.9861,100.107,3729,3484,55.7355,52.0736,51.6983,99.8508,32.4811,32.5854,34.9335,0,201415
17,Dallas,82,3862.75,174,170,2.7027,2.6406,50.5814,1984,1879,8.7702,90.9526,99.7228,3965,3642,61.5882,56.5711,52.123,99.7206,31.5042,30.2058,38.2901,0,201415
18,Florida,82,3930.283333,144,141,2.1983,2.1525,50.5263,1980,1847,7.2727,92.366,99.6387,3524,3346,53.7976,51.0803,51.2955,99.8723,32.6636,31.6847,35.6517,0,201415
19,Philadelphia,82,3930.85,132,135,2.0148,2.0606,49.4382,1806,1915,7.309,92.9504,100.259,3515,3614,53.6525,55.1636,49.3057,100.02,33.2984,31.8063,34.8953,0,201415
20,Colorado,82,3903.85,152,156,2.3362,2.3976,49.3507,1737,2086,8.7507,92.5216,101.272,3078,4039,47.3071,62.0772,43.2486,101.076,29.9211,35.4474,34.6316,0,201415
21,Calgary,82,3981.8,150,154,2.2603,2.3206,49.3421,1689,1962,8.881,92.1509,101.032,3321,4149,50.0427,62.5195,44.4578,100.805,29.5359,35.8153,34.6488,0,201415
22,Vancouver,82,3892.8,148,158,2.2811,2.4353,48.366,1911,1882,7.7446,91.6047,99.3493,3475,3545,53.5604,54.6393,49.5014,99.802,31.7819,31.5426,36.6755,0,201415
23,New Jersey,82,3944.633333,115,124,1.7492,1.8861,48.1172,1597,1893,7.201,93.4496,100.651,2969,3321,45.1601,50.5142,47.2019,100.14,28.8093,33.6061,37.5847,0,201415
24,San Jose,82,3968.1,137,155,2.0715,2.3437,46.9178,1955,1905,7.0077,91.8635,98.8712,3930,3706,59.4239,56.0369,51.4667,99.3036,31.6418,33.3831,34.9751,0,201415
25,Columbus,82,3869.783333,143,166,2.2172,2.5738,46.2783,1816,2042,7.8744,91.8707,99.7452,3231,3598,50.0958,55.7861,47.3129,99.8122,30.1035,33.8466,36.0499,0,201415
26,Toronto,82,3855.166667,136,171,2.1166,2.6614,44.2997,1810,2095,7.5138,91.8377,99.3515,3361,3878,52.309,60.3554,46.4291,99.6369,28.5235,35.5188,35.9577,0,201415
27,Carolina,82,4001.266667,124,161,1.8594,2.4142,43.5088,2015,1785,6.1538,90.9804,97.1342,3836,3471,57.5218,52.0485,52.4976,98.5941,33.8939,30.1366,35.9695,0,201415
28,Edmonton,82,4066.45,131,197,1.9329,2.9067,39.939,1846,2008,7.0964,90.1892,97.2857,3567,3853,52.6307,56.8506,48.0728,98.5597,31.3139,31.4162,37.2699,0,201415
29,Buffalo,82,3978.816667,109,174,1.6437,2.6239,38.5159,1527,2293,7.1382,92.4117,99.5499,2678,4468,40.3839,67.3768,37.4755,100.176,26.4918,39.1758,34.3324,0,201415
30,Arizona,82,3947.183333,106,173,1.6113,2.6297,37.9928,1852,2040,5.7235,91.5196,97.2431,3612,3812,54.905,57.9451,48.653,98.3964,31.4985,32.263,36.2385,0,201415
