Rank,Team,GP,TOI,GF,GA,GF60,GA60,GF%,SF,SA,Sh%,Sv%,PDO,CF,CA,CF60,CA60,CF%,CPDO,OZFO%,DZFO%,NZFO%,Cup,Year
1,Detroit,82,3589.383333,145,101,2.4238,1.6883,58.9431,1946,1371,7.4512,92.6331,100.084,3389,2387,56.6504,39.901,58.6738,100.047,36.1,23.1333,40.7667,1,200708
2,NY Rangers,82,3617.133333,129,109,2.1398,1.8081,54.2017,1805,1491,7.1468,92.6895,99.8363,3240,2766,53.7442,45.8816,53.9461,100.041,34.0339,23.5254,42.4407,0,200708
3,Pittsburgh,82,3515.516667,139,120,2.3723,2.0481,53.668,1551,1789,8.962,93.2923,102.254,2770,3331,47.2761,56.8508,45.4024,101.415,27.0332,32.1405,40.8263,-1,200708
4,Anaheim,82,3432.666667,108,95,1.8877,1.6605,53.202,1482,1497,7.2874,93.654,100.941,2630,2537,45.9701,44.3445,50.8999,100.362,30.3041,28.1617,41.5342,0,200708
5,Colorado,82,3736.5,154,136,2.4729,2.1839,53.1034,1733,1666,8.8863,91.8367,100.723,2917,3153,46.8406,50.6303,48.056,100.966,28.8604,29.0851,42.0546,0,200708
6,Ottawa,82,3609.116667,161,146,2.6766,2.4272,52.443,1782,1740,9.0348,91.6092,100.644,3246,3076,53.9633,51.1372,51.3445,100.214,30.0962,26.466,43.4378,0,200708
7,San Jose,82,3563.633333,129,117,2.1719,1.9699,52.439,1687,1367,7.6467,91.4411,99.0878,3041,2609,51.2006,43.9271,53.823,99.7576,31.7047,25.8053,42.49,0,200708
8,Buffalo,82,3632.783333,158,144,2.6096,2.3783,52.3179,1765,1679,8.9518,91.4235,100.375,3036,3080,50.1434,50.8701,49.6403,100.529,30.8009,27.6353,41.5638,0,200708
9,Washington,82,3620.666667,145,133,2.4029,2.204,52.1583,1861,1558,7.7915,91.4634,99.2549,3524,2812,58.3981,46.5992,55.6187,99.3849,32.1935,27.5724,40.2341,0,200708
10,Calgary,82,3582.333333,141,130,2.3616,2.1774,52.0295,1631,1633,8.645,92.0392,100.684,3042,2748,50.95,46.0259,52.5389,99.9044,31.1271,27.6928,41.1801,0,200708
11,Chicago,82,3508.566667,144,134,2.4625,2.2915,51.7986,1615,1645,8.9164,91.8541,100.771,2662,2690,45.5229,46.0017,49.7384,100.428,29.5582,28.0856,42.3562,0,200708
12,Dallas,82,3593.516667,139,130,2.3208,2.1706,51.6729,1575,1536,8.8254,91.5365,100.362,2912,2715,48.6209,45.3316,51.7505,99.9851,30.8921,26.7615,42.3464,0,200708
13,Carolina,82,3470.983333,150,143,2.5929,2.4719,51.1945,1849,1642,8.1125,91.2911,99.4036,3360,3100,58.0815,53.5871,52.0124,99.8514,30.0691,28.9576,40.9733,0,200708
14,Boston,82,3684.383333,121,118,1.9705,1.9216,50.6276,1729,1761,6.9983,93.2993,100.298,3161,2995,51.4767,48.7734,51.3483,99.888,29.7568,31.6109,38.6322,0,200708
15,Nashville,82,3600.183333,145,142,2.4165,2.3665,50.5226,1749,1790,8.2905,92.067,100.357,3067,3009,51.1141,50.1474,50.4773,100.009,28.9547,30.8665,40.1788,0,200708
16,Montreal,82,3570.433333,139,137,2.3359,2.3022,50.3623,1594,1834,8.7202,92.53,101.25,3036,3544,51.019,59.5558,46.1398,100.713,26.9206,32.4264,40.653,0,200708
17,New Jersey,82,3603.05,115,115,1.915,1.915,50,1624,1539,7.0813,92.5276,99.6089,2963,2685,49.3415,44.7121,52.461,99.5982,31.2278,26.1533,42.6189,0,200708
18,Florida,82,3675.183333,132,135,2.155,2.204,49.4382,1836,1998,7.1895,93.2432,100.433,3203,3375,52.2913,55.0993,48.6926,100.121,31.3143,31.9024,36.7833,0,200708
19,Toronto,82,3557.483333,147,151,2.4793,2.5467,49.3289,1790,1640,8.2123,90.7927,99.005,3327,3117,56.1127,52.5709,51.6294,99.574,30.6109,27.8135,41.5756,0,200708
20,St. Louis,82,3606.516667,136,140,2.2626,2.3291,49.2754,1588,1615,8.5642,91.3313,99.8955,2731,3034,45.4344,50.4753,47.3721,100.366,26.7828,31.5586,41.6586,0,200708
21,Vancouver,82,3498.9,118,122,2.0235,2.0921,49.1667,1509,1611,7.8197,92.4271,100.247,2774,2964,47.5692,50.8274,48.3444,100.138,28.7629,31.134,40.1031,0,200708
22,Minnesota,82,3558.633333,127,134,2.1413,2.2593,48.659,1513,1730,8.3939,92.2543,100.648,2888,3006,48.6929,50.6824,48.999,99.9398,25.8525,34.2644,39.8831,0,200708
23,Philadelphia,82,3440.483333,123,134,2.145,2.3369,47.8599,1581,1806,7.7799,92.5803,100.36,2859,3255,49.8593,56.7653,46.7615,100.186,26.1465,32.7707,41.0828,0,200708
